Horizon,Updated_Horizon,Flag_remove,Flag.Horizon.Type,Move_to_Humus
Ohli,Oh,,Organic.Horizon,
Omli,Om,,Organic.Horizon,
Btjz,Bztj,,,
b,,Flag,,
Ahgj1,,,,
IIBtg1,,,,
bedrock,R,,,
AeBhf,,Flag,,
Bhfgu,,,,
IICck,,,,
FragR,R,,,
Bhi,Bh,,,
Bm+BCc,Bmc,,,
Ae2gj,Aegj2,,,
IIICca2,,,,
5C,VC,,,
4Bm,IVBm,,,
2Bmgj,IIBmgj,,,
Cqj,Cgj,,,
IIIBM3,IIIBm3,,,
BMC,Bmc,,,
IIBhg,IIBhg,,,
IIBmub,,,,
1???,,Flag,,
Bhfg2,,,,
LFHb2,,,Organic.Horizon,
Ahbca,,,,
BmBf,Bm,,,
FHr,,,Organic.Horizon,Move
B31,,Flag,,
B22,,Flag,,
Bm7,,,,
Bg4,,,,
Cca4,,,,
Bhfu1,,,,
Bhfu2,,,,
RS,R,,,
B+AB,AB,,,
mottles,,Flag,,
AheAe,Ahe,,,
Bmfj,Bm,,,
Bf3Bhf,Bhf3,,,
BhfC,Bhf,,,
BhBf,Bhf,,,
AeBf,,Flag,,
IIBFJGJ,IIBmgj,,,
